,molecule_chembl_id,standard_value,standard_units,target_chembl_id,smiles
167345,CHEMBL4460909,3.27,nM,CHEMBL1075104,Cc1cn(Cc2nc3cnc4ccc(Cl)cc4c3n2C2CN(C)CC2(F)F)nn1
167346,CHEMBL4460909,0.94,nM,CHEMBL1075104,Cc1cn(Cc2nc3cnc4ccc(Cl)cc4c3n2C2CN(C)CC2(F)F)nn1
167347,CHEMBL4543181,6.47,nM,CHEMBL1075104,Cc1cnc(Cc2nc3cnc4ccc(C(F)(F)F)cc4c3n2[C@@H]2CCO[C@H](C)C2)cn1
167348,CHEMBL4543181,4.13,nM,CHEMBL1075104,Cc1cnc(Cc2nc3cnc4ccc(C(F)(F)F)cc4c3n2[C@@H]2CCO[C@H](C)C2)cn1
167349,CHEMBL4444592,4.12,nM,CHEMBL1075104,Cc1cnc(Cc2nc3cnc4ccc(C#N)cc4c3n2C2CN(C)CC2(F)F)cn1
167350,CHEMBL4444592,3.31,nM,CHEMBL1075104,Cc1cnc(Cc2nc3cnc4ccc(C#N)cc4c3n2C2CN(C)CC2(F)F)cn1
167351,CHEMBL4466740,11.8,nM,CHEMBL1075104,C[C@@H]1C[C@H](n2c(Cc3cn(C)nn3)nc3cnc4ccc(C(F)(F)F)cc4c32)CCO1
167352,CHEMBL4466740,5.55,nM,CHEMBL1075104,C[C@@H]1C[C@H](n2c(Cc3cn(C)nn3)nc3cnc4ccc(C(F)(F)F)cc4c32)CCO1
167353,CHEMBL4521173,6.39,nM,CHEMBL1075104,Cc1cc(Cc2nc3cnc4ccc(C#N)cc4c3n2[C@@H]2CCN(C)C2)ncn1
167354,CHEMBL4521173,11.3,nM,CHEMBL1075104,Cc1cc(Cc2nc3cnc4ccc(C#N)cc4c3n2[C@@H]2CCN(C)C2)ncn1
167355,CHEMBL4435423,17.6,nM,CHEMBL1075104,Cc1cnn(Cc2nc3cnc4ccc(C#N)cc4c3n2C2CN(C)CC2(F)F)n1
167356,CHEMBL4435423,3.31,nM,CHEMBL1075104,Cc1cnn(Cc2nc3cnc4ccc(C#N)cc4c3n2C2CN(C)CC2(F)F)n1
167357,CHEMBL4439241,1530.0,nM,CHEMBL1075104,CCc1nc2cnc3ccc(Cl)cc3c2n1[C@H]1CCO[C@@H](CC#N)C1
167358,CHEMBL4565316,700.0,nM,CHEMBL1075104,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCOCC2)cc1
167359,CHEMBL4565316,370.0,nM,CHEMBL1075104,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCOCC2)cc1
167360,CHEMBL4527232,370.0,nM,CHEMBL1075104,COc1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167361,CHEMBL4527232,440.0,nM,CHEMBL1075104,COc1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167362,CHEMBL4450247,2270.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(C(F)(F)F)cc2s1)c1ccc(N2CCOCC2)cc1
167363,CHEMBL4450247,280.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(C(F)(F)F)cc2s1)c1ccc(N2CCOCC2)cc1
167364,CHEMBL4445322,480.0,nM,CHEMBL1075104,Cc1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167365,CHEMBL4445322,330.0,nM,CHEMBL1075104,Cc1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167366,CHEMBL4437566,370.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(Cl)cc2s1)c1ccc(N2CCOCC2)cc1
167367,CHEMBL4473326,170.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(F)cc2s1)c1ccc(N2CCOCC2)cc1
167368,CHEMBL4473326,180.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(F)cc2s1)c1ccc(N2CCOCC2)cc1
167369,CHEMBL4455001,300.0,nM,CHEMBL1075104,CCOc1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167370,CHEMBL4455001,160.0,nM,CHEMBL1075104,CCOc1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167371,CHEMBL4452771,510.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(Br)cc2s1)c1ccc(N2CCOCC2)cc1
167372,CHEMBL4452771,260.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(Br)cc2s1)c1ccc(N2CCOCC2)cc1
167373,CHEMBL4543902,3490.0,nM,CHEMBL1075104,CCCOc1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167374,CHEMBL4543902,1120.0,nM,CHEMBL1075104,CCCOc1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167375,CHEMBL4454874,2500.0,nM,CHEMBL1075104,CC(C)c1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167376,CHEMBL4454874,980.0,nM,CHEMBL1075104,CC(C)c1ccc2nc(NC(=O)c3ccc(N4CCOCC4)cc3)sc2c1
167377,CHEMBL212590,520.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(F)cc2s1)c1ccccc1
167378,CHEMBL212590,520.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(F)cc2s1)c1ccccc1
167379,CHEMBL4553487,4460.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(F)cc2s1)c1ccc(Cl)cc1
167380,CHEMBL4553487,5640.0,nM,CHEMBL1075104,O=C(Nc1nc2ccc(F)cc2s1)c1ccc(Cl)cc1
